wfuzz -u http://10.129.28.172/ -H "Host: FUZZ" -w /usr/share/wordlists/SecLists/Discovery/DNS/subdomains-top1million-20000.txt --hw 1222
 /usr/lib/python3/dist-packages/wfuzz/__init__.py:34: UserWarning:Pycurl is not compiled against Openssl. Wfuzz might not work correctly when fuzzing SSL sites. Check Wfuzz's documentation for more information.
********************************************************
* Wfuzz 3.1.0 - The Web Fuzzer                         *
********************************************************

Target: http://10.129.28.172/
Total requests: 19966

=====================================================================
ID           Response   Lines    Word       Chars       Payload                                                                                     
000007897:   400        12 L     53 W       422 Ch      "28"                                                                                        
000007906:   400        12 L     53 W       422 Ch      "33"                                                                                        
000007936:   400        12 L     53 W       422 Ch      "41"                                                                                        
000007955:   400        12 L     53 W       422 Ch      "101"                                                                                       
000008022:   400        12 L     53 W       422 Ch      "163"                                                                                       
000008030:   400        12 L     53 W       422 Ch      "203"                                                                                       
000008043:   400        12 L     53 W       422 Ch      "666"                                                                                       
000008096:   400        12 L     53 W       422 Ch      "365"                                                                                       
000008341:   400        12 L     53 W       422 Ch      "www.2011"                                                                                  
000008722:   400        12 L     53 W       422 Ch      "www.11"                                                                                    
000008765:   400        12 L     53 W       422 Ch      "777"                                                                                       
000008883:   400        12 L     53 W       422 Ch      "12345"                                                                                     
000009042:   400        12 L     53 W       422 Ch      "132"                                                                                       
000009230:   400        12 L     53 W       422 Ch      "mail.85st"                                                                                 
000009318:   400        12 L     53 W       422 Ch      "43"                                                                                        
000009334:   400        12 L     53 W       422 Ch      "120"                                                                                       
000009416:   400        12 L     53 W       422 Ch      "65"                                                                                        
000009427:   400        12 L     53 W       422 Ch      "www.4"                                                                                     
000009431:   400        12 L     53 W       422 Ch      "www.3"                                                                                     
000009465:   400        12 L     53 W       422 Ch      "87"                                                                                        
000009473:   400        12 L     53 W       422 Ch      "89"                                                                                        
000009475:   400        12 L     53 W       422 Ch      "91"                                                                                        
000009486:   400        12 L     53 W       422 Ch      "71"                                                                                        
000009496:   400        12 L     53 W       422 Ch      "58"                                                                                        
000009499:   400        12 L     53 W       422 Ch      "56"                                                                                        
000009505:   400        12 L     53 W       422 Ch      "55"                                                                                        
000009506:   400        12 L     53 W       422 Ch      "www.16"                                                                                    
000009532:   400        12 L     53 W       422 Ch      "#www"                                                                                      
000009659:   400        12 L     53 W       422 Ch      "204"                                                                                       
000009862:   400        12 L     53 W       422 Ch      "www.10"                                                                                    
000009864:   400        12 L     53 W       422 Ch      "103"                                                                                       
000009892:   400        12 L     53 W       422 Ch      "www.2013"                                                                                  
000009910:   400        12 L     53 W       422 Ch      "110"                                                                                       
